index,type,land_type,prefecture,city,city2,station_name,building_year,station_dis,price,price_per_tsubo,room,area,land_shape,frontage,gross_floor_area,building_type,city_plan,BCR,FAR
8835,宅地(土地と建物),住宅地,千葉県,成田市,西三里塚,成田空港(空港第２ビル),2005,1H?1H30,49000000,,,1000,長方形,,150,木造,第１種低層住居専用地域,50,100
8836,宅地(土地と建物),住宅地,千葉県,成田市,西三里塚,成田空港(空港第２ビル),2022,1H?1H30,21000000,,,185,不整形,3,100,木造,第１種低層住居専用地域,50,100
8837,宅地(土地と建物),住宅地,千葉県,成田市,不動ケ岡,京成成田,2010,25,24000000,,,160,ほぼ台形,14.7,110,木造,第１種低層住居専用地域,60,150
8838,宅地(土地と建物),住宅地,千葉県,成田市,本城,成田空港(空港第２ビル),2022,1H?1H30,24000000,,,170,ほぼ長方形,9.5,105,木造,第１種低層住居専用地域,50,100
8842,宅地(土地と建物),住宅地,千葉県,佐倉市,飯野,佐倉,2005,1H?1H30,27000000,,,1600,ほぼ台形,23,360,木造,市街化調整区域,60,200
8845,宅地(土地と建物),住宅地,千葉県,佐倉市,井野,志津,1985,14,6800000,,,100,ほぼ正方形,10,85,木造,第１種低層住居専用地域,50,100
8847,中古マンション等,,千葉県,佐倉市,井野,志津,1998,14,10000000,,４ＬＤＫ,95,,,,ＲＣ,第１種低層住居専用地域,60,150
8849,中古マンション等,,千葉県,佐倉市,臼井,京成臼井,1997,6,13000000,,３ＬＤＫ,65,,,,ＳＲＣ,第１種住居地域,60,200
8850,宅地(土地と建物),住宅地,千葉県,佐倉市,臼井台,京成臼井,1986,8,18000000,,,230,ほぼ長方形,,115,木造,第１種住居地域,60,200
8854,宅地(土地と建物),住宅地,千葉県,佐倉市,王子台,京成臼井,1984,15,19000000,,,180,長方形,10,100,木造,第１種低層住居専用地域,50,100
8855,宅地(土地と建物),住宅地,千葉県,佐倉市,王子台,京成臼井,1986,4,27000000,,,180,長方形,9,165,軽量鉄骨造,第１種住居地域,60,200
8856,宅地(土地と建物),住宅地,千葉県,佐倉市,王子台,京成臼井,1999,11,9500000,,,180,ほぼ長方形,11.5,165,木造,第１種低層住居専用地域,50,100
8857,宅地(土地と建物),住宅地,千葉県,佐倉市,大崎台,佐倉,1997,7,5500000,,,50,ほぼ長方形,5.1,60,木造,第１種住居地域,60,200
8859,宅地(土地と建物),住宅地,千葉県,佐倉市,大蛇町,京成佐倉,2022,16,34000000,,,230,ほぼ長方形,,110,木造,第１種低層住居専用地域,60,150
8860,中古マンション等,,千葉県,佐倉市,大蛇町,京成佐倉,1977,13,5400000,,２ＬＤＫ,85,,,,ＲＣ,第１種低層住居専用地域,60,150
8861,宅地(土地と建物),住宅地,千葉県,佐倉市,生谷,京成臼井,2022,30分?60分,32000000,,,180,長方形,12.6,100,木造,市街化調整区域,50,100
8867,宅地(土地と建物),住宅地,千葉県,佐倉市,表町,佐倉,1987,6,37000000,,,350,長方形,19,240,木造,第２種中高層住居専用地域,60,200
8869,宅地(土地と建物),住宅地,千葉県,佐倉市,上志津,志津,2022,9,34000000,,,175,ほぼ台形,10.6,110,木造,第１種低層住居専用地域,60,150
8870,中古マンション等,,千葉県,佐倉市,上志津,志津,1977,8,9900000,,２ＬＤＫ,60,,,,ＳＲＣ,第１種中高層住居専用地域,60,200
8871,中古マンション等,,千葉県,佐倉市,上志津,志津,1984,3,9600000,,３ＬＤＫ,70,,,,ＲＣ,近隣商業地域,80,300
8872,中古マンション等,,千葉県,佐倉市,上志津,志津,1977,8,7700000,,３ＬＤＫ,60,,,,ＳＲＣ,第１種中高層住居専用地域,60,200
8873,宅地(土地と建物),住宅地,千葉県,佐倉市,上志津,ユーカリが丘,1984,18,17000000,,,180,長方形,14.2,100,木造,第１種低層住居専用地域,50,100
8875,宅地(土地と建物),住宅地,千葉県,佐倉市,山王,物井,1989,18,11000000,,,180,長方形,12,130,木造,第１種低層住居専用地域,50,100
8876,宅地(土地と建物),住宅地,千葉県,佐倉市,上座,ユーカリが丘,2022,8,29000000,,,105,ほぼ整形,6.5,95,木造,第１種低層住居専用地域,50,100
8877,宅地(土地と建物),住宅地,千葉県,佐倉市,白銀,佐倉,1994,30分?60分,21000000,,,190,長方形,13,120,軽量鉄骨造,第１種低層住居専用地域,50,100
8880,中古マンション等,,千葉県,佐倉市,中志津,志津,1995,9,15000000,,３ＬＤＫ,65,,,,ＲＣ,第１種低層住居専用地域,50,100
8881,宅地(土地と建物),住宅地,千葉県,佐倉市,中志津,ユーカリが丘,1987,15,17000000,,,115,ほぼ整形,9,95,木造,第１種低層住居専用地域,50,100
8882,宅地(土地と建物),住宅地,千葉県,佐倉市,西志津,志津,1990,24,6800000,,,100,袋地等,2.5,80,木造,第１種低層住居専用地域,50,100
8883,宅地(土地と建物),住宅地,千葉県,佐倉市,西志津,志津,1991,10,310000000,,,2000㎡以上,ほぼ台形,,2000㎡以上,鉄骨造,第１種低層住居専用地域,50,100
8884,中古マンション等,,千葉県,佐倉市,西志津,志津,1995,18,12000000,,３ＬＤＫ,70,,,,ＲＣ,第１種低層住居専用地域,50,100
8885,宅地(土地と建物),住宅地,千葉県,佐倉市,八幡台,京成臼井,1978,24,11000000,,,170,ほぼ正方形,13,90,木造,第１種低層住居専用地域,50,100
8886,中古マンション等,,千葉県,佐倉市,南ユーカリが丘,ユーカリが丘,2005,3,23000000,,２ＬＤＫ,70,,,,鉄骨造,第１種住居地域,60,200
8887,中古マンション等,,千葉県,佐倉市,南ユーカリが丘,ユーカリが丘,2003,10,23000000,,３ＬＤＫ,105,,,,ＲＣ,第１種低層住居専用地域,50,100
8889,宅地(土地と建物),住宅地,千葉県,佐倉市,宮ノ台,ユーカリが丘,1990,30分?60分,15000000,,,180,長方形,12,135,木造,第１種低層住居専用地域,50,100
8890,宅地(土地と建物),住宅地,千葉県,佐倉市,宮ノ台,ユーカリが丘,1989,25,19000000,,,180,長方形,12,125,軽量鉄骨造,第１種低層住居専用地域,50,100
8892,中古マンション等,,千葉県,佐倉市,宮ノ台,ユーカリが丘,2009,30分?60分,26000000,,２ＬＤＫ,75,,,,ＲＣ,第１種中高層住居専用地域,60,200
8893,中古マンション等,,千葉県,佐倉市,宮ノ台,ユーカリが丘,2009,30分?60分,27000000,,３ＬＤＫ,75,,,,ＲＣ,第１種中高層住居専用地域,60,200
8894,中古マンション等,,千葉県,佐倉市,宮ノ台,ユーカリが丘,2000,30分?60分,15000000,,３ＬＤＫ,75,,,,ＲＣ,第１種住居地域,60,200
8895,宅地(土地と建物),住宅地,千葉県,佐倉市,宮前,京成佐倉,2022,15,35000000,,,180,長方形,13,105,木造,第１種低層住居専用地域,50,100
8896,中古マンション等,,千葉県,佐倉市,弥勒町,京成佐倉,1995,13,1300000,,３ＬＤＫ,70,,,,ＲＣ,第１種低層住居専用地域,60,150
8897,宅地(土地と建物),住宅地,千葉県,佐倉市,六崎,佐倉,1980,16,5500000,,,140,不整形,,80,木造,第１種低層住居専用地域,50,100
8898,宅地(土地と建物),住宅地,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,2021,10,71000000,,,180,長方形,12,115,木造,第１種低層住居専用地域,50,100
8899,宅地(土地と建物),住宅地,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,1981,19,13000000,,,165,長方形,11,100,木造,第１種低層住居専用地域,50,100
8900,宅地(土地と建物),商業地,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,1991,19,50000000,,,220,長方形,13,200,木造,第１種住居地域,60,200
8901,宅地(土地と建物),商業地,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,1981,19,50000000,,,450,長方形,26,185,軽量鉄骨造,第１種住居地域,60,200
8902,宅地(土地と建物),住宅地,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,2021,10,72000000,,,180,長方形,12,115,木造,第１種低層住居専用地域,50,100
8903,中古マンション等,,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,1991,6,41000000,,４ＬＤＫ,135,,,,ＲＣ,商業地域,80,500
8904,中古マンション等,,千葉県,佐倉市,ユーカリが丘,ユーカリが丘,2013,7,48000000,,３ＬＤＫ,90,,,,ＲＣ,近隣商業地域,80,200
8905,宅地(土地と建物),住宅地,千葉県,佐倉市,吉見,京成臼井,2010,30分?60分,15000000,,,170,袋地等,3.3,105,木造,市街化調整区域,60,200
8912,宅地(土地と建物),住宅地,千葉県,東金市,求名,求名,1990,7,9000000,,,210,ほぼ台形,15,110,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8916,宅地(土地と建物),住宅地,千葉県,東金市,関下,東金,2021,1H?1H30,22000000,,,155,長方形,12,105,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8918,宅地(土地と建物),住宅地,千葉県,東金市,台方,福俵,1988,13,5500000,,,145,長方形,7.5,80,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8920,宅地(土地と建物),住宅地,千葉県,東金市,田間,東金,1997,30分?60分,12000000,,,180,ほぼ長方形,16,100,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8921,宅地(土地と建物),住宅地,千葉県,東金市,東金,東金,2022,11,22000000,,,165,ほぼ正方形,12.5,105,木造,第１種住居地域,60,200
8923,宅地(土地と建物),住宅地,千葉県,東金市,西福俵,福俵,1995,11,11000000,,,165,ほぼ長方形,11,100,木造,第１種低層住居専用地域,50,100
8925,宅地(土地と建物),住宅地,千葉県,東金市,日吉台,東金,2022,30分?60分,39000000,,,320,不整形,,135,木造,第１種低層住居専用地域,50,100
8926,宅地(土地と建物),商業地,千葉県,東金市,日吉台,東金,2007,21,60000000,,,2000㎡以上,ほぼ台形,,260,木造,第２種住居地域,60,200
8928,宅地(土地と建物),住宅地,千葉県,東金市,油井,東金,2007,1H?1H30,12000000,,,185,長方形,13,100,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8929,宅地(土地と建物),住宅地,千葉県,旭市,後草,飯岡,2022,2,29000000,,,220,ほぼ長方形,,120,木造,都市計画区域外,,
8933,宅地(土地と建物),商業地,千葉県,旭市,琴田,旭(千葉),1981,30分?60分,8500000,,,370,ほぼ整形,,155,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8943,宅地(土地と建物),住宅地,千葉県,旭市,西足洗,旭(千葉),1987,25,200000,,,180,ほぼ整形,,75,木造,市街化区域及び市街化調整区域外の都市計画区域,60,200
8944,宅地(土地と建物),住宅地,千葉県,旭市,ハ,旭(千葉),1997,9,14000000,,,250,ほぼ台形,,85,木造,第１種住居地域,60,200
8949,宅地(土地と建物),住宅地,千葉県,旭市,ロ,旭(千葉),1989,3,12000000,,,230,ほぼ長方形,,125,木造,商業地域,80,400
